-0.028194,0.001475,-0.023050,-0.045114,-0.034938,-0.043733,-0.009269,-0.070755,-0.052004,-0.069803,-0.031942,-0.031553,-0.080307,-0.042301,-0.027558,-0.064905,-0.016343,-0.024551,-0.066972,-0.056941
-0.040442,-0.044643,0.007697,-0.023496,-0.041474,-0.029757,-0.028192,-0.051370,-0.039494,-0.038093,-0.068233,-0.028118,-0.036095,-0.054012,-0.022309,-0.002980,-0.022035,-0.019862,-0.043965,-0.000931
-0.008536,-0.073138,-0.004241,-0.065969,-0.066948,0.014886,-0.041198,-0.020031,-0.023899,-0.049350,-0.061477,-0.033109,-0.070100,-0.049166,-0.028320,-0.045403,-0.070414,-0.045275,-0.051638,-0.056271
-0.018979,-0.036819,-0.045541,-0.046942,-0.049134,-0.032887,-0.051489,-0.042715,-0.040112,-0.049160,-0.063586,-0.015045,-0.041325,0.005441,-0.064809,-0.054826,-0.031899,-0.050378,-0.043308,-0.016523
0.006941,-0.046297,-0.054393,-0.073846,-0.072822,0.005142,-0.033784,0.013017,-0.006111,-0.032334,0.001554,0.010831,-0.009847,-0.025692,-0.029549,0.009425,0.009861,-0.013003,-0.049532,-0.069619
-0.038902,-0.032584,-0.014641,-0.059248,-0.016129,-0.004510,-0.016740,-0.064264,-0.047369,-0.050133,-0.032395,-0.039496,-0.031218,-0.055275,-0.035238,0.011367,-0.036020,-0.074700,-0.089103,0.026470
-0.019628,-0.058961,-0.060800,-0.047085,-0.001753,0.015010,-0.030637,-0.066886,-0.007446,-0.017635,-0.009483,-0.019384,-0.053181,-0.052221,-0.029172,-0.036542,-0.043630,-0.060335,-0.042895,-0.065751
0.022104,-0.065459,-0.087249,-0.023802,-0.002183,-0.019444,-0.082592,-0.002749,-0.050399,-0.025701,-0.053239,-0.006430,-0.039681,-0.031175,-0.035054,-0.067576,-0.074853,-0.031868,-0.042483,-0.072942
-0.016443,-0.067304,-0.041791,-0.005237,-0.068995,-0.020429,-0.057064,-0.072733,-0.053167,-0.008937,-0.037123,-0.064684,0.007654,-0.066821,-0.042150,-0.039504,-0.035408,-0.030118,-0.053956,-0.091719
-0.018805,-0.053348,-0.020799,-0.081153,0.000564,-0.061171,-0.030566,-0.026132,-0.057104,-0.031409,-0.076002,0.010271,-0.001047,-0.055332,-0.044098,-0.058167,-0.019474,-0.057666,-0.078375,-0.031554
-0.001840,-0.055519,0.016541,-0.037703,-0.005275,-0.036768,-0.066842,-0.081289,-0.073692,-0.054936,-0.026493,-0.060487,-0.073950,-0.025591,-0.078874,-0.066012,-0.056844,-0.038452,-0.028399,-0.044581
-0.007238,-0.052468,-0.027760,-0.053962,-0.075078,0.028118,0.015123,-0.061322,-0.067361,-0.066469,-0.001417,-0.061175,-0.059198,-0.077950,0.019168,-0.018321,-0.056043,-0.027506,-0.049172,-0.057947
-0.002904,-0.006760,-0.053817,-0.010834,-0.041315,-0.037096,-0.016102,-0.018656,-0.024242,-0.017163,-0.082345,-0.026884,-0.118588,-0.083057,-0.062297,-0.041575,-0.044325,-0.068176,-0.086005,-0.002223
-0.053957,-0.016519,-0.062481,-0.031173,-0.022080,-0.045505,-0.048044,-0.031675,-0.039967,-0.072446,-0.035109,-0.025986,-0.008851,-0.033896,-0.017221,-0.061120,-0.079372,-0.072467,-0.002349,-0.013274
-0.057832,0.028577,-0.026338,-0.036845,-0.009112,-0.041202,-0.023200,-0.038997,0.000255,-0.019462,-0.034772,-0.021447,-0.026643,-0.006864,-0.019664,-0.001636,-0.008087,-0.040532,-0.056360,-0.010313
0.005034,-0.007716,0.003649,0.011574,-0.015084,-0.016114,-0.018072,-0.013807,-0.001917,-0.047076,-0.025533,-0.011565,-0.056548,-0.072146,-0.030775,-0.027729,-0.025295,-0.009684,-0.011402,-0.023549
-0.014785,-0.002325,0.004837,0.000109,-0.021105,0.026879,-0.015892,-0.017969,-0.030346,-0.004588,-0.001423,-0.041401,-0.074257,-0.001207,-0.006848,0.013986,-0.005355,-0.006641,-0.007606,-0.018802
-0.001724,-0.005394,-0.011431,-0.011496,-0.002684,-0.030193,-0.012163,-0.048545,-0.033659,-0.024971,-0.023153,-0.031630,-0.049112,-0.019305,-0.040806,0.046311,-0.001292,-0.026404,-0.044155,-0.009579
0.000005,0.029598,-0.008537,-0.001245,0.008092,-0.001765,-0.034390,0.019983,-0.038979,-0.042913,-0.031210,-0.008639,-0.011761,0.013661,-0.018142,0.038806,-0.021542,-0.006750,-0.051757,0.034576
-0.001024,-0.006873,0.019079,-0.028402,-0.002789,0.003436,-0.044630,0.025802,-0.017290,-0.027862,-0.001691,0.009550,-0.045715,-0.016029,-0.064966,0.019149,-0.017077,0.013786,-0.037211,-0.000933
